Date,INDOCO.NS.Open,INDOCO.NS.High,INDOCO.NS.Low,INDOCO.NS.Close,INDOCO.NS.Volume
01-01-2021,305.25,310,302.8999939,304.2999878,132129
04-01-2021,308,316,305.0499878,313.75,392560
05-01-2021,311.5,321.5,308,319.3999939,339243
06-01-2021,320,326.5,314,322.5499878,317984
07-01-2021,324.7999878,325.9500122,312,313.7000122,118563
08-01-2021,314,330,313.7000122,325.2000122,284965
11-01-2021,326.8500061,332.2000122,314.8500061,321.75,137578
12-01-2021,322,326,314.0499878,318,140752
13-01-2021,319.8999939,323,305,310.3999939,168996
14-01-2021,311.4500122,319.4500122,309.7999878,311.2999878,103078
15-01-2021,314,315.3500061,305,307.2000122,107955
18-01-2021,307.5,315.5,294.8999939,310.8500061,133410
19-01-2021,312,335.7999878,311.2000122,326.1499939,421037
20-01-2021,328.7999878,330,321.2000122,322.7000122,118160
21-01-2021,325.6000061,327,318,320.6000061,106791
22-01-2021,320,322.1000061,311,317.2999878,176248
25-01-2021,320,320,308.9500122,311.5,90273
27-01-2021,313.0499878,322,310.6499939,320.0499878,83777
28-01-2021,320.8999939,320.8999939,306.3500061,309.7999878,98545
29-01-2021,312.8999939,314.8999939,296.3500061,300.5499878,56397
01-02-2021,300,308.3500061,295.8500061,305.1000061,93559
02-02-2021,306.6499939,310.8500061,300,303.1499939,43502
03-02-2021,304.5499878,324.9500122,300.25,312.8999939,124117
04-02-2021,317,324,304.7999878,322.3500061,56553
05-02-2021,323.25,323.25,314,315.75,45704
08-02-2021,317.2999878,329.7000122,315.6499939,317.8999939,114124
09-02-2021,319.7999878,335,305.8500061,313.5499878,562184
10-02-2021,314,317.75,298.75,301.75,215547
11-02-2021,302,309,298,301.8999939,80037
12-02-2021,303,304.5,288.8500061,292.75,384782
15-02-2021,299.8500061,299.8500061,292,292.6000061,54286
16-02-2021,294,298.6499939,292,292.7999878,42526
17-02-2021,292.7000122,299,292,293.8999939,38650
18-02-2021,295.25,308.75,293.0499878,305.8999939,184171
19-02-2021,305,307.4500122,295,301.0499878,165858
22-02-2021,299,302,292.4500122,293.1000061,41307
23-02-2021,291.3500061,299.5,283.8999939,296.8999939,111191
24-02-2021,298,300,288,294.6000061,17588
25-02-2021,297,298.5499878,291.7000122,292.2999878,44672
26-02-2021,292.2999878,300,288.2999878,290.8500061,76143
01-03-2021,295,302,289.1499939,297.7999878,86988
02-03-2021,299.2999878,299.7000122,292.5499878,295.5499878,75702
03-03-2021,298.5,298.5499878,290.4500122,291.7999878,88599
04-03-2021,291.7999878,294.3500061,289.3500061,291.25,88050
05-03-2021,292.5,294.0499878,274.8500061,280.6000061,575635
08-03-2021,280,285.9500122,275,276.6499939,109067
09-03-2021,278.0499878,294.8999939,278.0499878,287.5499878,820891
